Timestamp (ms),ch0_1Hz,ch0_2Hz,ch0_3Hz,ch0_4Hz,ch0_5Hz,ch0_6Hz,ch0_7Hz,ch0_8Hz,ch0_9Hz,ch0_10Hz,ch0_11Hz,ch0_12Hz,ch0_13Hz,ch0_14Hz,ch0_15Hz,ch0_16Hz,ch0_17Hz,ch0_18Hz,ch0_19Hz,ch0_20Hz,ch0_21Hz,ch0_22Hz,ch0_23Hz,ch0_24Hz,ch0_25Hz,ch0_26Hz,ch0_27Hz,ch0_28Hz,ch0_29Hz,ch0_30Hz,ch1_1Hz,ch1_2Hz,ch1_3Hz,ch1_4Hz,ch1_5Hz,ch1_6Hz,ch1_7Hz,ch1_8Hz,ch1_9Hz,ch1_10Hz,ch1_11Hz,ch1_12Hz,ch1_13Hz,ch1_14Hz,ch1_15Hz,ch1_16Hz,ch1_17Hz,ch1_18Hz,ch1_19Hz,ch1_20Hz,ch1_21Hz,ch1_22Hz,ch1_23Hz,ch1_24Hz,ch1_25Hz,ch1_26Hz,ch1_27Hz,ch1_28Hz,ch1_29Hz,ch1_30Hz,ch2_1Hz,ch2_2Hz,ch2_3Hz,ch2_4Hz,ch2_5Hz,ch2_6Hz,ch2_7Hz,ch2_8Hz,ch2_9Hz,ch2_10Hz,ch2_11Hz,ch2_12Hz,ch2_13Hz,ch2_14Hz,ch2_15Hz,ch2_16Hz,ch2_17Hz,ch2_18Hz,ch2_19Hz,ch2_20Hz,ch2_21Hz,ch2_22Hz,ch2_23Hz,ch2_24Hz,ch2_25Hz,ch2_26Hz,ch2_27Hz,ch2_28Hz,ch2_29Hz,ch2_30Hz,ch3_1Hz,ch3_2Hz,ch3_3Hz,ch3_4Hz,ch3_5Hz,ch3_6Hz,ch3_7Hz,ch3_8Hz,ch3_9Hz,ch3_10Hz,ch3_11Hz,ch3_12Hz,ch3_13Hz,ch3_14Hz,ch3_15Hz,ch3_16Hz,ch3_17Hz,ch3_18Hz,ch3_19Hz,ch3_20Hz,ch3_21Hz,ch3_22Hz,ch3_23Hz,ch3_24Hz,ch3_25Hz,ch3_26Hz,ch3_27Hz,ch3_28Hz,ch3_29Hz,ch3_30Hz,chAux_1Hz,chAux_2Hz,chAux_3Hz,chAux_4Hz,chAux_5Hz,chAux_6Hz,chAux_7Hz,chAux_8Hz,chAux_9Hz,chAux_10Hz,chAux_11Hz,chAux_12Hz,chAux_13Hz,chAux_14Hz,chAux_15Hz,chAux_16Hz,chAux_17Hz,chAux_18Hz,chAux_19Hz,chAux_20Hz,chAux_21Hz,chAux_22Hz,chAux_23Hz,chAux_24Hz,chAux_25Hz,chAux_26Hz,chAux_27Hz,chAux_28Hz,chAux_29Hz,chAux_30Hz,f_1Hz,f_2Hz,f_3Hz,f_4Hz,f_5Hz,f_6Hz,f_7Hz,f_8Hz,f_9Hz,f_10Hz,f_11Hz,f_12Hz,f_13Hz,f_14Hz,f_15Hz,f_16Hz,f_17Hz,f_18Hz,f_19Hz,f_20Hz,f_21Hz,f_22Hz,f_23Hz,f_24Hz,f_25Hz,f_26Hz,f_27Hz,f_28Hz,f_29Hz,f_30Hz,info
1.58347E+12,1.482948317,2.631474879,5.839143707,1.631683255,3.62685121,5.11454842,2.744585151,0.47476578,5.091016023,3.54723553,2.735349875,7.630699612,3.568603251,1.996502848,7.306503229,2.529070449,5.288258702,3.166351286,2.058693358,2.091882736,2.932179062,2.158870903,2.447317122,1.44173129,0.240563702,1.411717823,1.091635887,0.631427184,0.23104266,0.438964712,1.090633198,2.899599205,4.993028514,0.632460891,2.129045432,2.955468646,4.026291846,2.5681638,3.734890283,1.623389362,4.279948796,2.471746974,3.829469765,3.264746198,3.106153256,2.503725725,2.171296926,3.903098489,3.203831667,2.926567841,1.1266408,1.18571721,1.95671263,0.113122427,1.976991031,0.089738448,0.550376186,0.349648372,0.211613498,0.15256922,0.383668168,2.299685373,1.564355087,2.263382659,6.595594423,5.686790589,1.588651775,4.249155726,5.563377236,4.951258767,5.806071708,5.963346165,5.849868411,1.480170013,1.698002574,5.293080518,1.337122235,3.384529758,0.41808188,2.334270816,0.757899362,3.438822885,1.249219782,1.066808367,1.349149183,0.348663702,1.196306521,1.022403051,0.93021862,1.40375711,0.656873449,2.414247605,1.252200141,1.381080604,6.928458051,2.980387731,1.056084152,3.641656547,3.640373943,2.501397274,0.601633417,0.754804995,4.197678264,3.53167548,1.924391412,3.259073423,3.335764669,3.408358413,1.291243242,3.428264503,0.720846603,1.378654439,0.40936586,0.530706687,1.94424754,2.238668468,1.595964009,1.138919593,0.714897564,0.530896106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.58347E+12,0.990926406,4.25937477,1.992452327,4.271909214,2.900542044,1.335898358,4.591909704,1.878985022,2.750074654,0.616423132,7.00466491,2.917836028,3.557923115,3.767596412,2.168666894,4.42667528,1.783742681,1.506308504,4.365107177,1.502141694,2.213941374,3.663654066,1.621466329,1.891401628,1.190045912,1.329195665,0.473394219,0.157219277,0.230123362,0.421693196,2.108259827,4.531019782,3.185792954,4.188858947,4.386080681,4.073079056,3.741484109,0.283045709,0.245715746,4.482704244,3.29407672,2.220299743,5.303967339,3.650575758,1.202815365,1.711560696,1.135341233,3.86311865,4.794778366,1.115277906,2.737128052,2.120837538,0.911439387,0.582824843,2.126447323,0.766959765,0.550742045,0.165098175,0.338211289,0.699861493,1.744911907,0.141772139,2.866169652,2.249995766,6.876596222,1.075619961,4.873057833,3.304480694,2.746507467,3.801488039,2.518152662,3.134276917,6.089442332,2.586120858,1.40482673,6.751834096,1.957320579,4.413930165,2.363275735,2.200652428,4.340638682,1.676347039,1.200918555,0.786778578,1.390304763,0.530877358,0.866378278,1.434963108,0.551629425,0.913191346,0.456896518,2.062045583,1.232825039,3.170903427,5.503432832,3.296372895,3.447926573,2.349202638,2.027314719,0.865171871,1.630834666,3.442472383,1.728547641,2.280574977,1.400278084,3.135447119,4.185216951,4.432192589,1.248587737,3.491153724,1.916125939,1.771734242,0.975133728,0.465100729,1.115232165,1.542151642,2.160825783,1.454705388,0.932140971,0.782670879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.58347E+12,0.376050197,1.321919848,4.362379473,1.615513312,2.917700933,1.624929895,4.81323707,2.390374014,4.724969781,2.087247664,4.286874319,1.441007562,4.015069174,0.761012448,3.226734637,3.722817278,3.863012531,3.232429966,2.686145943,2.118025215,2.120146704,2.585681866,1.691841124,1.664077232,1.807688689,0.581366932,0.685636216,0.617827003,0.737195102,0.218208903,0.735515318,4.38349324,2.425955836,4.569445457,3.256144039,4.529240855,5.884279964,1.540197789,2.722310299,2.979372681,2.679812335,2.454690163,4.128855177,0.924277579,5.056196039,2.828784217,1.763652201,1.753980389,2.368222756,2.016067191,3.18145737,3.128377275,0.498916457,0.571268714,1.40427937,0.606861117,0.938260915,0.113196144,0.690352581,0.42009627,1.244208676,2.731293971,3.189783715,3.012992697,4.900529925,1.997563443,2.462393362,3.417107138,5.092903208,2.669349924,2.508667134,1.763334589,2.467614965,3.103288437,4.447377355,4.028240901,1.152437946,4.335803264,2.338276022,4.506466383,2.031302432,2.538083346,0.516664139,2.229777349,0.769778511,1.105650929,1.565520747,0.543925456,0.421589864,0.822346642,0.963405707,1.575225483,3.073302877,2.36854776,2.550624057,1.519689219,2.374808271,4.276768018,1.097358882,1.588075584,2.826018727,6.174238498,5.473733401,0.75244444,2.152269541,4.705888804,1.602588983,5.389512658,4.688034284,1.845158244,1.534770161,0.80190331,0.589819392,0.954039166,0.198621044,1.304924371,1.074073822,0.602551974,0.613639092,0.233465026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.58347E+12,0.533417381,1.229878632,3.027246129,3.903155767,1.625691517,3.853531614,2.320127094,4.385994111,4.749178444,2.559420511,5.433965112,1.469690062,4.599595048,0.618937883,3.164511134,4.141745453,4.321028439,2.404871792,1.011199269,2.996288676,2.141146462,0.198673554,0.133105703,1.998337383,0.90009626,1.334065214,0.467875954,0.224148448,0.962135983,0.475106006,0.841908991,4.683083454,3.588793999,3.095441365,1.188407071,4.079139834,3.503043469,3.522905716,3.861632918,3.080062414,3.235295761,0.379778214,1.806630283,3.926670316,1.963953573,4.938508841,1.658257407,2.210155919,3.662985137,1.505026106,1.950059539,3.820715341,0.993647919,0.567336041,0.65771501,0.239935835,1.269678857,0.259133329,0.48826519,0.45310895,0.833544802,4.150745113,3.264622581,2.962027822,2.696173763,3.574997293,2.384509294,1.031040842,1.857141823,2.896056275,2.504529184,4.548976112,1.707243495,2.626975712,3.662336808,0.695964132,4.668943395,1.730738051,1.288877734,4.784422706,0.791708494,2.267594454,1.106889609,1.738812745,1.392112511,0.632383542,1.012234967,1.406636009,0.38177281,1.207641225,2.103462847,1.178173652,0.483978723,0.254959989,0.777680563,3.495341851,4.858332773,4.615121298,3.704848296,1.684633339,4.638420196,4.824505818,4.46116895,3.57486695,3.737347784,1.423265842,4.027666262,3.509504698,6.438874187,2.748244852,2.191257701,1.830409699,1.349438875,1.313092313,0.474774099,1.254237211,1.99245725,0.032435536,0.517298363,0.848006972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.58347E+12,1.061528215,1.458853394,4.162111738,4.051933216,3.731510996,2.193355918,1.939962962,2.583536149,1.420544779,3.877131335,6.105534381,3.964981866,4.208526652,1.669264489,2.960883892,4.159892814,2.081000268,2.495673286,1.423619108,2.462903081,3.386746937,1.658018,2.250308301,0.688498599,1.48896143,0.826874502,0.98035109,0.062496711,0.233850963,0.776186787,0.643452297,3.55630717,0.9916598,5.429267215,2.14399522,5.171790126,4.69750782,6.888902613,0.688273114,1.168028116,0.378036951,2.953228166,2.58250545,3.527520918,1.50662409,4.239370885,2.325904065,2.962192678,2.153053641,1.332022535,1.869339754,2.354183808,1.175489894,0.900983933,0.157477029,0.870612369,1.214642564,0.084242595,0.27501675,0.78781442,1.115710476,1.889500902,0.785766967,1.792176477,3.003001142,4.692356813,0.704150798,0.846924133,1.078083789,1.797182233,4.549349615,4.898449706,0.957244761,1.759456825,1.410308999,1.849696935,3.204008354,1.876601375,2.726222119,3.308345763,2.816826903,1.557894554,1.489365033,1.644695921,1.474450465,0.627663726,1.020874362,1.042662763,0.432918668,0.558259606,0.285004635,2.757181351,3.940177279,3.313007379,2.943326178,3.945847026,4.465641254,4.42549628,4.676174442,2.429033175,3.515335789,1.364006392,2.065640971,5.924532134,3.139495952,3.045802597,4.911148613,1.616366665,0.943423433,2.27349262,2.096145841,3.416535671,1.324133722,0.82225033,0.378154205,0.4146662,1.414230641,0.972586097,0.412971987,0.491194606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.58347E+12,1.412430183,3.107286854,3.236693948,2.063510698,5.369830406,3.516202542,0.409995643,1.869270427,2.829447342,0.443844706,4.400128323,7.35753745,2.499289377,2.846633741,2.547118536,2.439213323,1.942338471,0.905335531,2.166510201,2.569570551,2.544128803,3.0684476,2.041485085,0.458475705,1.641370675,1.511394748,0.547959254,0.281986849,0.239095848,0.78835282,0.520486098,1.709980957,2.538304736,4.729320231,3.196256475,6.74030437,3.327569383,3.739603615,2.958542594,2.544654334,2.678182345,1.567450456,2.5848868,0.914153388,4.235061538,6.197928059,3.443430157,2.02708352,0.394211412,0.536064809,2.37881729,0.564696621,0.904485123,0.112602525,1.43840351,0.416631835,0.360461253,0.884255322,0.887587747,0.717601574,0.598209853,0.623849394,1.550493295,0.842526481,5.896035761,1.419402887,3.964081307,1.271866685,1.865557231,0.635683595,4.133266018,2.856775146,1.796895675,1.092115787,1.740515236,2.630705215,1.037256279,0.599622617,3.657270826,1.214746262,4.15667446,1.483697651,0.997599531,1.184798521,1.547830105,1.201525239,0.459828398,0.410711036,0.382221354,0.395957042,0.551022535,3.548865478,3.53205752,3.878718742,2.296936905,2.027040182,4.796066584,2.748989576,2.843427249,3.422418355,3.386276078,2.345720868,3.049758535,1.61126201,1.365740316,4.170510439,2.652813741,2.713849475,2.091714227,1.950156946,3.809338203,1.596178041,0.572143002,1.033936729,1.645508145,0.888488125,1.041535766,0.591930852,1.104715514,0.672366878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.58347E+12,0.469354243,0.629378915,2.716623368,4.707060841,0.980227393,4.365265569,5.017455554,3.361869584,1.888236383,3.482629694,0.545095442,2.769208352,2.539249988,0.869386505,1.278450053,3.662187465,1.113292897,2.930202781,1.304308291,0.865040053,3.631649373,1.479425695,1.983744427,0.190514414,1.578722383,0.547853232,1.137778441,1.221671256,0.282835694,0.658851246,0.419167352,2.166143429,3.101055477,3.164365305,2.023362863,5.075248393,5.55977674,6.25606291,4.27202184,3.583395871,2.614872991,1.238293604,3.983514652,0.297785384,3.336357257,4.4799875,2.6983642,0.248221903,1.86916624,1.434769684,3.005890168,1.706052843,2.703301218,3.323688351,0.870194789,0.402037559,0.779217637,0.765815824,0.85131607,0.525944485,0.969862151,1.996507524,2.128058406,1.779756347,7.653538944,1.907004717,2.461214559,2.382599341,2.450060109,1.199013548,2.88844356,1.365086524,0.77582126,4.176101223,1.046759071,2.730453448,3.623359892,2.761951522,3.277610603,1.267830651,2.189461335,1.401220006,2.298751012,0.698777899,1.00869992,1.744340098,0.407558901,0.462891012,0.527795882,1.200434706,1.677353347,4.793562617,2.180746708,1.083162833,1.998101077,1.916118361,5.435779037,1.890099801,4.731452617,2.49852132,4.456217575,2.343171097,1.649012381,1.147949991,2.674583779,4.573134552,4.390541968,1.091713617,1.592381773,3.054515367,2.528228577,0.888330093,0.299000425,1.271270331,1.696976167,0.900514908,0.351136414,0.476631922,0.54735208,0.621743734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.58347E+12,0.569019815,1.030563138,3.686424764,7.246904853,0.250793752,6.54151509,3.587841996,6.148880031,2.297369512,0.237099846,0.468864961,1.875332796,2.264139208,2.635994658,3.644321349,2.060420166,1.514144476,0.532261124,2.166236253,2.270908769,3.937113206,2.057693972,0.880981913,0.864883455,0.868739022,0.769343839,1.496029767,0.369238332,0.6873692,0.650047402,0.326731915,2.126368441,0.996309358,6.41009624,3.318841837,2.216544266,3.772534064,3.024934243,5.019123265,3.599386066,0.799967001,2.173764066,3.976275891,1.833778135,3.025051816,3.228076819,1.476093528,2.360707709,2.293929863,1.284899793,2.39364385,1.668863746,3.730577972,1.971477118,2.136928682,0.276121982,1.377470583,0.619480306,0.717822717,0.693762539,0.704607343,0.854047232,4.007651517,0.562453633,4.858792218,5.956558095,4.68569624,2.469037541,1.960002173,2.572186227,2.721898563,1.181097717,2.65012351,4.610232657,1.221546639,0.855589898,6.949119827,2.638561968,2.898525034,2.102116383,1.058010001,1.614540159,1.315021106,1.805405282,0.972231806,2.133116119,0.911867233,0.256648567,0.923143138,0.797540243,0.894828591,3.03073576,3.885241007,2.668614229,0.514826505,3.991800705,5.461495354,2.638987292,2.581338427,4.688607887,0.537019344,2.642560727,2.961541519,2.211936724,4.695861111,3.219701254,4.703887086,2.202877548,1.911164125,2.248541785,1.362005847,2.344725758,1.358061472,1.006001184,0.984375057,1.003546949,0.643587361,0.740674269,0.289146544,0.549072011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.58347E+12,1.435100246,1.478734348,5.14970642,6.771717491,3.203899886,4.355863869,1.830868561,3.242480272,5.642384716,1.716813472,1.851555061,4.140816849,1.08312631,2.521769332,1.170481926,2.332476515,3.909554382,0.421141411,1.82402092,2.383132682,3.885693056,0.536331933,1.463414696,1.975329189,1.499213908,1.529172925,1.360572838,0.955435608,0.9821026,0.040766232,0.613768916,2.153317436,3.272111997,2.841503296,3.907364784,2.656153977,3.665244477,2.368327148,2.645926883,3.237550874,4.033210733,1.4175105,2.725244065,1.604043935,0.725992756,0.942855559,2.878358798,1.02557892,2.360815734,0.523701988,2.366969642,0.949585345,1.349233005,0.223314334,2.026728988,0.87228261,2.126165373,0.745934283,0.11097882,0.35660124,0.895384184,1.15523865,3.276619094,4.737023241,0.747269586,4.032696113,5.487234795,2.293626232,1.493576368,2.993167501,2.585278062,1.618030533,2.037414254,5.862294683,2.8848059,0.693665092,7.416877622,2.956683574,1.267441454,1.357894008,1.718012074,0.761742739,1.064591441,0.598891823,1.730763901,1.711317708,0.41358196,0.367266339,0.709938517,0.209337133,0.560227464,2.332095063,2.3616762,2.068179204,4.399213983,1.223499232,3.161161197,5.099946571,2.915852452,2.451649761,2.330015899,4.342064429,3.144588822,1.87947923,3.129514867,1.618632893,1.913989835,2.74086914,1.41296604,0.456159918,0.369532082,1.314084503,1.477457489,0.99921529,2.138651566,0.135739715,0.72448839,0.79228553,0.835763319,1.704465017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.58347E+12,0.978318629,2.632740677,5.391877412,4.955897065,0.931440594,0.628332635,4.576057509,2.936902242,7.087199595,1.538247918,2.278765533,3.002582723,3.291441012,2.514002834,2.804932555,2.315836373,3.629429139,1.137707092,1.009882941,2.204016945,4.078977304,1.844367422,2.611373068,1.615011464,1.060289559,0.768862095,0.360010841,0.316983447,0.683788368,0.597348106,0.285159352,1.880613685,4.996179083,3.551035831,1.600870551,1.054874653,2.225634166,1.912974228,2.339162163,1.249451254,4.090846526,3.198311678,0.632592099,0.428237017,1.267533766,1.513106931,1.842955572,4.238797726,0.582209108,2.628059369,2.617000269,1.367864294,0.923839423,1.553875193,0.181830202,1.707192651,1.527823145,0.865071933,0.401694541,0.197743797,0.152388492,1.783687647,3.894387888,6.148591405,0.291379361,1.045426694,2.64112719,6.426339058,1.543229082,4.160919192,2.093015015,3.074649548,3.399029928,6.581454065,2.269393514,1.634967947,8.409006217,3.768950468,2.005058189,0.952139904,1.319732816,0.832618658,0.49953025,0.635437342,1.103446029,0.80454483,0.918454425,0.982737717,0.54313598,0.820379899,0.468640111,0.36214965,1.925199707,0.940181179,4.465431763,1.420377338,0.672068579,3.351148873,5.231815274,3.880210913,4.07075682,2.412474061,3.915833734,4.6404544,3.10416106,2.36865887,2.211357236,3.040482796,2.250402481,0.679288533,1.361406952,1.074715641,2.155713916,1.990267169,0.484718553,1.40820162,0.240911078,0.864116137,1.11030183,1.449785053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
